citing_opinion_id,cited_opinion_id
2219145,3431712
2219145,1512035
2219145,1578275
2219145,1708292
2219144,2037254
2219144,1976316
2219144,2067325
2219144,2073534
2219144,2232941
2219152,2122362
2219152,2240149
2219152,3427463
2219148,2022752
2219148,2153928
2219148,2046557
2219156,2087079
2219156,2087651
2219156,2213397
2219156,2234205
2219156,2088471
2219150,2024929
2219150,1250494
2219150,2228121
2219146,2067660
2219146,2215458
2219146,2027748
2219146,2057509
2219146,2038639
2219155,2024920
2219155,2176984
2219155,2065706
2219155,2023087
2219140,2068929
2219140,2055458
2219140,2041033
2219140,2237549
2219140,2230640
2219140,2061847
2219140,2056184
2219140,2077215
2219149,2230450
2219149,2092807
2219149,2099826
2219149,2036959
2219143,2045847
2219143,2084061
2219143,2062129
2219143,2248373
2219143,2122295
1039131,2424577
1039131,1508226
1039131,2557061
1039131,2328199
1039131,105609
1039131,2190090
1039131,2372747
1039131,1966093
1039131,2113294
1039131,2364304
1039131,376724
1039131,1517335
1039131,2310808
1039131,294043
1039131,2095132
1039131,1548191
1039131,2183333
1039131,1467434
1039131,2324752
1039131,2074422
1039131,1956924
1039131,111170
1039131,274955
1039131,1966660
1039131,106193
1039131,1542223
1039131,2304464
1039131,2293201
1039131,1995858
1039131,1490004
1039131,1941333
1039131,1476728
1039131,1924700
1039131,2097885
1039131,1893264
1039131,110692
1039131,2321233
1039131,2370408
1039131,2376169
1039131,2298858
1039131,2156527
1039131,2107127
1039131,2275576
1039131,1966073
1039131,110289
1039131,1996009
1039131,567594
1039131,2320894
1042476,2600567
1045427,1083904
1045427,106598
1045427,1052744
1045427,1635114
1045427,1987627
1045427,1058875
1048176,2425472
1048176,89857
1048176,1566104
1048176,1503771
1048176,1786822
1048176,1753720
1048176,1312555
1048176,244428
1048176,2355822
1048176,101617
1048176,453458
1048176,2446990
1048176,2382656
1048176,1733144
1048176,76953
1048176,792379
1048176,1568267
1048176,512958
1048176,2461660
1050922,2384720
1050922,1659460
1050922,1984775
1053607,1060514
1053607,1959818
1053607,1060560
1053607,108215
1053607,1740283
1053607,1060765
1056216,2443840
1056216,1780609
1056216,137675
1056216,106598
1056216,1081162
1056216,1060587
1056216,2410221
1056216,2411822
1056216,1574157
1056216,136995
1056216,1377077
1056216,1060503
1056216,110138
1056216,1502043
1056216,2449274
1056216,1518815
1058715,118354
1058715,111833
1058715,1059674
1058715,1378909
1058715,1058911
1058715,1353213
1058715,145654
1058715,118391
1058715,722553
1058715,1058938
1058715,110973
1061334,1369614
1061334,1364669
1061334,1396884
1061334,1332923
1061334,1289149
1063844,1340868
1063844,1068006
1063844,1348014
1063844,1212566
1063844,1225339
1063844,1376668
1066263,1277505
1066263,1260037
1066263,1348362
1066263,1287149
1066263,1369614
1066263,2039219
1066263,1257752
1066263,1068091
1068550,1066468
1068550,1217132
1068550,1289996
1068550,1200077
1068550,1065842
1068550,1347892
1068550,1065365
1039121,1506946
1039121,1490441
1039121,626956
1039121,737421
1039121,2263950
1039121,2258447
1039121,1484049
1039121,1931027
1039121,2470805
1039121,186651
182334,199936
1039121,613273
1039121,108100
1039121,109338
1039121,547055
1039121,107801
1039121,2077983
1039121,1475104
1039121,2341411
1039121,118329
1039121,1563049
1039121,201002
1039121,1515180
1039121,780589
1039121,107439
1039121,110649
1039121,107191
1039121,2179000
1039121,586809
1039121,1965919
1039121,1989437
1039121,1929151
1039121,110916
1039121,2326470
1039121,1936840
1039121,2351686
1039121,1931213
1039121,2113720
1039121,76884
1039121,1604054
1039121,2049367
1039121,1547224
1039121,1506139
1039121,76638
1039121,107999
1039121,185339
1039121,3870308
1039121,785253
1039121,2207718
1039121,738221
1039121,1218415
1039121,1965193
1039121,2286200
1039121,2348921
1039121,2553343
1039121,1499390
1039121,1470079
1042469,2262137
1042469,3283148
1045406,1060512
1045406,2437821
1045406,111170
1045406,1057691
1045406,1678216
1045406,2388301
1045406,1769614
1045406,1618013
1045406,1678167
1045406,2277242
1045406,1058491
1045406,2168477
1048202,1659435
1048202,2442408
1048202,2275851
1048202,2454578
1048202,2450800
1048202,1571698
1048202,1768355
1048202,1052532
1048202,1055259
1050919,1060346
1050919,1396971
1050919,1073916
1053619,108497
1056217,136995
1056217,1722406
1056217,1060999
1056217,1716648
1056217,1060681
1056217,137675
1056217,1506382
1056217,1075983
1056217,1463696
1056217,2428914
1056217,1450003
1056217,1772026
1056217,1740283
1056217,1516927
1058739,108164
1058739,1059462
1058739,1222023
1058739,117975
1058739,118307
1058739,571286
1058739,715800
1058739,111514
1058739,456348
1058739,117923
1058739,1264683
1058739,1059899
1058739,109506
1058739,1059011
1058739,1059142
1058739,475335
1058739,778403
1058739,1234903
1058739,106598
1058739,764775
1058739,756563
1058739,36476
1061338,1061922
1061338,1063206
1061338,1062119
1061338,1238071
1061338,1256303
1061338,1205648
1061338,1298135
1061338,1347928
1061338,1058521
1061338,110138
1063843,1066788
1063843,1067301
1063843,1356381
1063843,1354702
1063843,1272013
1066278,2342242
1066278,2276935
1066278,1665097
1066278,1060490
1066278,1060587
1066278,1060525
1066278,2104495
1066278,2441876
1066278,1071315
1066278,1790036
1066278,1772660
1066278,1383004
1068550,1065845
1068550,1065915
1068550,1065173
1070670,2407877
1629654,2173707
1629654,1685776
1629654,1369106
1629654,894574
1629654,2461464
1629654,1676443
1629654,2441373
1629654,2440350
1629654,894766
1629654,1465783
1629654,2352696
1629654,2382015
1629654,2336065
1629654,1878856
1629654,2456652
1629654,2419662
1629654,2100943
1629654,1678928
1629654,1673809
1629654,1498835
1629654,788569
1629654,2427101
1629654,1518823
1629654,2572782
1629654,1788399
1629654,15352
1629654,1637241
1629654,1655932
1632023,1103239
1632023,1099116
1632023,1955339
1632023,1685133
1632023,1695513
1632023,1665946
1039160,2169813
1042468,2518408
1042468,2271904
1042468,1160464
1045415,2443840
1045415,1753160
1045415,1484157
1045415,1060945
1045415,1785010
1045415,1057558
1045415,2464056
1045415,1044025
1045415,110138
1045415,1057596
1045415,108538
1048193,1775654
1048193,1060680
1048193,1677836
1048193,1620047
1048193,108497
1048193,1747923
1048193,110676
1048193,1054843
1048193,1672350
1050924,2621531
1050924,1490475
1053618,1787833
1053618,2388306
1053618,1060638
1053618,1060974
1053618,1743293
1056240,112868
1056240,117958
1056240,2417468
1056240,1653372
1056240,2376013
1056240,2442893
1056240,1525276
1056240,1060446
1058753,1060276
1058753,1289347
1058753,1058892
1058753,1243900
1058753,1268295
1061321,1063712
1061321,1246177
1061321,1058947
1061321,1059396
1061321,603905
1061321,1067400
1061321,1059305
1061321,110475
1061321,1058319
1061321,110065
1061321,107252
1061321,1286955
1061321,1062935
1061321,110987
1061321,1066620
1061321,109695
1063808,1058715
1063808,108967
1063808,1257221
1063808,1058555
1063808,1067400
1063808,1202377
1063808,112475
1063808,1376491
1063808,104932
1063808,1277723
1063808,1059439
1063808,1305682
1063808,1065667
1063808,106197
1063808,1212478
1063808,106777
1063808,1065946
1063808,110235
1063808,1064414
1063808,145669
1066284,1064059
1066284,1067172
1066284,1067370
1066284,1239922
1066284,1066139
1066284,1067679
1068520,1067856
1068520,1067941
1068520,1067335
1068520,1067880
1068520,1739305
1068520,1257291
1068520,1344703
1068520,1289423
1068520,1066351
1068520,1066416
1068520,1359154
1068520,1064665
1068520,1067193
1068520,1067674
1068520,1296891
1068520,1064602
1068520,1320126
1068520,1288069
1070670,2442375
1070670,1733769
1070670,1743474
1070670,2405716
1070670,2371673
1072661,1082688
1072661,462337
1072661,1617187
1072661,1060964
1072661,2384392
1072661,1742793
1072661,2385132
1072661,2362733
1072661,2411822
1072661,1743153
1072661,1564448
1072661,1518420
1072661,1523290
1072661,1060828
1072661,1658654
1072661,1721759
1074513,2363163
1074513,1740283
1074513,2369652
1076140,1379777
1076140,1295727
1077587,1516950
1077587,1617187
1077587,1520677
1077587,1060829
1077587,2388276
1077587,2427066
1077587,1859644
1077587,2460607
1077587,110138
1077587,1060945
1077587,2436387
1077587,1518420
182334,1380225
1077587,1673685
1077587,1781595
1077587,2435421
1077587,1060574
1077587,1060577
1077587,2277095
1077587,1720938
1077587,1728885
1077587,2277242
1077587,1653372
1078855,2448513
1078855,1564422
1078855,2363163
1078855,1657252
1078855,1520677
1078855,1564713
1078855,2431025
1078855,1717810
